 p u b l i c a t i o n :   1 1 3 
 c o n t a c t :   3 5 8 
 c o m m i t t e e s :   6 2 
 c o n g r e s s :   7 8 
 b o d i e s :   6 0 
 p e r f o r m s :   2 0 
 l i a i s o n :   1 1 
 d u t i e s :   5 5 
 a s s i s t a n c e :   5 6 
 c o o r d i n a t e s :   6 
 a p p e a r a n c e s :   8 
 b e f o r e :   5 6 3 
 e s t a b l i s h e d :   1 9 5 
 a p p e n d i x :   6 4 
 i n d e p e n d e n t l y :   8 
 i n i t i a t e s :   1 1 
 c o n d u c t s :   2 4 
 s u p e r v i s e s :   1 
 a u d i t s :   4 
 r e v i e w s :   1 1 
 i n v e s t i g a t i o n s :   7 3 
 e c o n o m y :   2 6 
 e f f i c i e n c y :   1 1 
 e f f e c t i v e n e s s :   4 7 
 w i t h i n :   1 0 6 8 
 r e c e i v e s :   8 0 
 i n v e s t i g a t e s :   3 
 c o m p l a i n t s :   3 4 
 c o n c e r n i n g :   1 9 8 
 p o s s i b l e :   1 8 7 
 v i o l a t i o n s :   3 9 
 m i s m a n a g e m e n t :   1 
 a b u s e :   7 9 
 w a s t e :   3 8 
 f u n d s :   3 6 
 e x i s t i n g :   1 4 6 
 l e g i s l a t i o n :   2 9 
 a s s u r i n g :   9 
 r e l a t i n g :   1 5 1 
 e e o :   5 
 i s s u e s :   1 9 6 
 s m a l l :   3 2 0 
 d i s a d v a n t a g e d :   3 
 u t i l i z a t i o n :   8 
 p r o g r a m :   2 9 0 
 d e v e l o p s :   1 1 
 m a n a g e s :   1 0 
 d i s c r i m i n a t i o n :   3 7 
 c o m p l a i n t :   2 3 5 
 p r o c e s s :   2 7 9 
 a d j u d i c a t i o n :   5 3 
 f a c i l i t a t e s :   6 
 a f f i r m a t i v e :   3 2 
 a e p :   1 
 w o m e n :   8 
 m i n o r i t i e s :   1 
 i n d i v i d u a l s :   2 1 5 
 d i s a b i l i t i e s :   1 5 
 d i s a b l e d :   5 
 p l a n s :   5 5 
 e x e c u t e s :   4 
 s p e c i a l :   2 4 1 
 e m p h a s i s :   2 
 c o l l e g e s :   2 
 d i v e r s i t y :   2 
 s e x u a l :   1 
 h a r a s s m e n t :   2 
 t r a i n i n g :   5 5 
 i d e n t i f i e s :   3 2 
 t r e n d s :   2 
 p r a c t i c e s :   1 9 7 
 h a v e :   1 2 4 2 
 i m p a c t :   2 6 5 
 m e t h o d s :   2 4 5 
 e n h a n c e :   5 
 d e p u t y :   2 1 
 b r o a d :   7 
 d i r e c t i o n :   1 9 5 
 a c c o r d a n c e :   8 6 2 
 c h i e f :   2 3 
 o p e r a t i n g :   1 5 4 
 m a n a g e r :   1 5 
 s u p p o r t i n g :   1 0 5 
 b u d g e t :   2 0 
 p l a n :   1 9 8 
 a f t e r :   1 0 3 5 
 a p p r o v a l :   1 6 9 
 m a n a g i n g :   1 9 
 e x e c u t i o n :   3 1 
 h a s :   1 8 1 2 
 d i r e c t :   2 0 1 
 l i n e :   1 6 0 
 o v e r :   3 0 5 
 d i r e c t o r a t e s :   3 
 d e v e l o p i n g :   3 0 
 c o n t r o l :   2 6 2 
 l o n g :   1 6 9 
 r a n g e :   1 9 5 
 s t r a t e g i c :   3 
 a n n u a l :   1 8 3 
 p e r f o r m a n c e :   2 2 8 
 b u d g e t s :   1 
 m a j o r :   6 9 
 o p e r a t i o n a l :   1 4 
 p e r f o r m i n g :   2 8 
 e v a l u a t i o n s :   1 0 
 s t u d i e s :   8 4 
 e n s u r i n g :   2 3 
 p r o c u r e d :   8 
 e x p e n d e d :   9 
 p l a n n e d :   4 
 a c c o r d i n g :   1 0 3 
 p u r c h a s i n g :   2 4 
 p a y m e n t :   1 7 7 
 o b l i g a t i o n s :   5 7 
 r e p o r t i n g :   2 3 4 
 r e c o m m e n d s :   2 3 
 s e r v e s :   1 8 
 s u p p o r t :   2 3 2 
 m a n a g e d :   1 7 
 i m p l e m e n t a t i o n :   2 1 
 c o m p r e h e n s i v e :   2 0 
 n a t i o n a l :   1 6 3 
 d e s i g n e d :   2 4 6 
 i n c l u d e s :   2 5 6 
 r e s p o n s i b i l i t y :   6 0 
 m a i n t a i n i n g :   4 5 
 w i d e :   4 7 
 g r o u p s :   5 5 
 o r g a n i z a t i o n s :   5 0 
 t r a d e :   4 6 8 
 a s s o c i a t i o n s :   1 5 
 e n t i t i e s :   1 0 1 
 l a b o r :   2 3 
 m e d i c a l :   6 6 
 s c i e n t i f i c :   5 7 
 p r o f e s s i o n a l :   4 1 
 i m p l e m e n t i n g :   3 2 
 m e d i a :   6 6 
 n a t i o n w i d e :   1 3 
 s p o k e s p e r s o n :   4 
 p r i n t :   4 7 
 b r o a d c a s t :   1 5 
 d i s s e m i n a t e s :   3 
 n e w s :   2 7 
 r e l e a s e s :   1 4 
 o r g a n i z e s :   1 
 c o n f e r e n c e s :   2 8 
 g u i d a n c e :   5 3 
 c o m p l y i n g :   8 4 
 r e s p e c t :   3 1 9 
 t h e i r :   4 4 1 
 e n f o r c e a b i l i t y :   3 
 r e s p o n s i b i l i t i e s :   3 5 
 i n c l u d e :   7 3 7 
 i d e n t i f y i n g :   5 3 
 a d d r e s s i n g :   1 4 
 a l r e a d y :   5 3 
 d i s t r i b u t i o n :   1 3 2 
 p r o m o t i n g :   6 
 i n d u s t r y :   2 9 7 
 e f f o r t s :   3 2 
 p r o v i d i n g :   1 7 9 
 e n f o r c e s :   1 1 
 r e q u i r e m e n t s :   1 4 2 2 
 i n s p e c t i o n s :   3 5 
 d e p t h :   5 4 
 a n a l y z e s :   2 
 c o n t a i n i n g :   3 9 7 
 d e f e c t s :   1 3 
 p o s i n g :   1 
 r i s k :   4 4 6 
 d o :   4 4 9 
 n o t :   4 6 0 9 
 n e g o t i a t e s :   1 
 m o n i t o r s :   5 
 c o r r e c t i v e :   9 0 
 d e f e c t i v e :   3 2 
 f a i l :   1 4 6 
 g a t h e r s :   2 
 v o l u n t a r y :   2 9 1 
 s u r v e i l l a n c e :   1 0 
 s t r a t e g i e s :   6 
 a s s u r e :   6 8 
 a s s i s t s :   3 
 r a n g i n g :   2 
 e d u c a t i o n :   3 3 
 r e d u c e :   1 3 8 
 a r e a s :   6 6 
 r e c r u i t m e n t :   4 
 p l a c e m e n t :   4 7 
 p o s i t i o n :   2 8 1 
 c l a s s i f i c a t i o n :   7 5 
 b e n e f i t s :   1 3 2 
 r e t i r e m e n t :   6 
 d r u g :   8 6 
 t e s t i n g :   1 0 1 6 
 l e a v e :   4 7 
 a d m i n i s t r a t i o n :   1 4 0 
 d i s c i p l i n a r y :   2 2 
 a d v e r s e :   1 7 0 
 g r i e v a n c e s :   1 
